trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,12,14.471885046479251,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,4,-80.74596603975382,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,0,-87.77469801651532,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-74.5292110304016,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,-152.73470529682515,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-82.95860194663132,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,0,8.048492290736956,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,0,-95.70492873701653,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,9,3.4588244518868985,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",35,0,-51.83328543134977,"{0: 28, 1: 0, 2: 5, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-20.8397148684988,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-17.67977197203458,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
